Species,Family,Specialization,Specialization_words,Disperzal,Protection_Status,Short_name
Pardosa alacris,Lycosidae,0,Non-Wetland,1,NO,ParAla
Pardosa lugubris,Lycosidae,0,Non-Wetland,1,NO,ParLug
Pardosa palustris,Lycosidae,0,Non-Wetland,1,NO,ParPal
Philodromus albidus,Philodromidae,0,Non-Wetland,1,NO,PhiAlb
Philodromus aureolus,Philodromidae,0,Non-Wetland,1,NO,PhiAur
Philodromus collinus,Philodromidae,0,Non-Wetland,1,NO,PhiCol
Phylloneta impressa,Theridiidae,0,Non-Wetland,2,NO,PhyImp
Phylloneta sisyphia,Theridiidae,0,Non-Wetland,2,NO,PhySis
Pisaura mirabilis,Pisauridae,0,Non-Wetland,1,NO,PisMir
Platnickina tincta,Linyphiidae,0,Non-Wetland,2,NO,PlaTin
Robertus arundineti,Theridiidae,0,Non-Wetland,1,NO,RobAru
Sibianor aurocinctus,Salticidae,0,Non-Wetland,1,TO,SibAur
Simitidion simile,Linyphiidae,0,Non-Wetland,2,O,SimSim
Tenuiphantes flavipes,Linyphiidae,0,Non-Wetland,2,NO,TenFla
Tenuiphantes tenuis,Linyphiidae,0,Non-Wetland,2,NO,TenTen
Theridion boesenbergi,Theridiidae,0,Non-Wetland,1,KO,TheBoe
Theridion varians,Theridiidae,0,Non-Wetland,1,NO,TheVar
Tibellus oblongus,Philodromidae,0,Non-Wetland,1,NO,TibObl
Trematocephalus cristatus,Linyphiidae,0,Non-Wetland,2,NO,TreCri
Walckenaeria furcillata,Linyphiidae,0,Non-Wetland,2,NO,WalFur
Xysticus erraticus,Thomisidae,0,Non-Wetland,0,NO,XysErr
Xysticus kochi,Thomisidae,0,Non-Wetland,0,NO,XysKoc
Zelotes latreilei,Gnaphosidae,0,Non-Wetland,1,NO,ZelLat
Zelotes petrensis,Gnaphosidae,0,Non-Wetland,1,NO,ZelPet
